timestamp,event,session_id,metadata
2025-09-08T16:57:18.837681,shortlist_shown,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""length_chars"": 50}"
2025-09-08T16:57:19.574427,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 984, ""chars"": 671}"
2025-09-08T16:58:18.049429,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 13}"
2025-09-08T16:58:21.067465,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 3018}"
2025-09-08T16:58:22.653517,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 4606, ""chars"": 444}"
2025-09-08T16:59:39.234162,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 33}"
2025-09-08T16:59:41.453585,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 2217}"
2025-09-08T16:59:47.041712,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 7808, ""chars"": 1670}"
2025-09-08T17:00:48.090964,send_clicked,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""prompt_len"": 32}"
2025-09-08T17:00:48.574019,first_token,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 484}"
2025-09-08T17:00:48.615962,shortlist_shown,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""length_chars"": 50}"
2025-09-08T17:00:49.344511,response_complete,1c63c158-f5f4-4d9e-b646-e71f2aa4cbfd,"{""duration_ms"": 1255, ""chars"": 671}"
2025-09-08T17:08:23.452013,send_clicked,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""prompt_len"": 33}"
2025-09-08T17:08:26.635706,first_token,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""duration_ms"": 3183}"
2025-09-08T17:08:33.822499,response_complete,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""duration_ms"": 10371, ""chars"": 2091}"
2025-09-08T17:08:38.697046,send_clicked,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""prompt_len"": 449}"
2025-09-08T17:08:39.341383,first_token,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""duration_ms"": 646}"
2025-09-08T17:08:40.201773,response_complete,e8decaf6-44e9-43bf-91bc-5690c33cff09,"{""duration_ms"": 1505, ""chars"": 737}"
2025-09-08T17:13:26.255957,send_clicked,912b053b-2eb4-465d-bc3f-1c1272699840,"{""prompt_len"": 33}"
2025-09-08T17:13:28.854076,first_token,912b053b-2eb4-465d-bc3f-1c1272699840,"{""duration_ms"": 2597}"
2025-09-08T17:13:35.944713,response_complete,912b053b-2eb4-465d-bc3f-1c1272699840,"{""duration_ms"": 9690, ""chars"": 2086}"
2025-09-08T17:13:37.530251,send_clicked,912b053b-2eb4-465d-bc3f-1c1272699840,"{""prompt_len"": 238}"
2025-09-08T17:13:37.943724,first_token,912b053b-2eb4-465d-bc3f-1c1272699840,"{""duration_ms"": 416}"
